id,cave,keywords,_details,_creator,_publisher,_publication_year,_rights,_link
Afofor_6_6_11_6_7_fettere_Puenktchen_neu,Afofor,"papua, berau, Echsen",,Markus Wäfler,Edition Topoi,2017,CC-BY-NC-SA 3.0 DE,http://repositorytest.ancient-astronomy.org/collection/PIND/object/3593
Afofor_6_6_11_6_7,Afofor,"papua, berau, Echsen",,Markus Wäfler,Edition Topoi,2017,CC-BY-NC-SA 3.0 DE,http://repositorytest.ancient-astronomy.org/collection/PIND/object/3594
Furir_Lama_2_10_11_11_14,Furir Lama,"papua, berau, Echsen",,Markus Wäfler,Edition Topoi,2017,CC-BY-NC-SA 3.0 DE,http://repositorytest.ancient-astronomy.org/collection/PIND/object/3596
Mampoga_4_6_7_5_7,Mampoga,"papua, berau, Echsen",,Markus Wäfler,Edition Topoi,2017,CC-BY-NC-SA 3.0 DE,http://repositorytest.ancient-astronomy.org/collection/PIND/object/3597
Sasera_7_-_-,Sasera,"papua, kaimana, Mensch unbestimmbar",fragliche Belege,Markus Wäfler,Edition Topoi,2017,CC-BY-NC-SA 3.0 DE,http://repositorytest.ancient-astronomy.org/collection/PIND/object/3598
Soasose_1_1_2,Soasose,"papua, berau, Echsen",,Markus Wäfler,Edition Topoi,2017,CC-BY-NC-SA 3.0 DE,http://repositorytest.ancient-astronomy.org/collection/PIND/object/3599
Suaja__-_-,Suaja,"papua, suaja, Echsen",,Markus Wäfler,Edition Topoi,2017,CC-BY-NC-SA 3.0 DE,http://repositorytest.ancient-astronomy.org/collection/PIND/object/3600
Yaaser_14_37_38_7_9,Ya'aser,"papua, fakfak, Echsen",,Markus Wäfler,Edition Topoi,2017,CC-BY-NC-SA 3.0 DE,http://repositorytest.ancient-astronomy.org/collection/PIND/object/3603
Yaaser_14_6_7_14_16,Ya'aser,"papua, fakfak, Echsen",,Markus Wäfler,Edition Topoi,2017,CC-BY-NC-SA 3.0 DE,http://repositorytest.ancient-astronomy.org/collection/PIND/object/3604
Yaaser_14_6_8_14_17,Ya'aser,"papua, fakfak, Echsen",,Markus Wäfler,Edition Topoi,2017,CC-BY-NC-SA 3.0 DE,http://repositorytest.ancient-astronomy.org/collection/PIND/object/3605
Yaaser_14_6_8_19_22,Ya'aser,"papua, fakfak, Echsen",,Markus Wäfler,Edition Topoi,2017,CC-BY-NC-SA 3.0 DE,http://repositorytest.ancient-astronomy.org/collection/PIND/object/3606
Yaaser_6_-_Einzelaufn_2_-_-,Ya'aser,"papua, fakfak, Echsen",,Markus Wäfler,Edition Topoi,2017,CC-BY-NC-SA 3.0 DE,http://repositorytest.ancient-astronomy.org/collection/PIND/object/3607
Mampoga_10_5_3_4_Aal,Mampoga,"papua, berau, Fisch",Aal,Markus Wäfler,Edition Topoi,2017,CC-BY-NC-SA 3.0 DE,http://repositorytest.ancient-astronomy.org/collection/PIND/object/3608
Wamerei_VW_1_10_11_1_3_Aalmutter,Wamerei,"papua, berau, Fisch",Aalmutter,Markus Wäfler,Edition Topoi,2017,CC-BY-NC-SA 3.0 DE,http://repositorytest.ancient-astronomy.org/collection/PIND/object/3609
Mampoga_10_1_2_7_8_Barracuda,Mampoga,"papua, berau, Fisch",Barracuda,Markus Wäfler,Edition Topoi,2017,CC-BY-NC-SA 3.0 DE,http://repositorytest.ancient-astronomy.org/collection/PIND/object/3610
Yaaser_12_-_-_Barracuda,Ya'aser,"papua, fakfak, Fisch",Barracuda,Markus Wäfler,Edition Topoi,2017,CC-BY-NC-SA 3.0 DE,http://repositorytest.ancient-astronomy.org/collection/PIND/object/3611
Mampoga_7_12_15_4_6_Blaufisch,Mampoga,"papua, berau, Fisch",Blaufisch,Markus Wäfler,Edition Topoi,2017,CC-BY-NC-SA 3.0 DE,http://repositorytest.ancient-astronomy.org/collection/PIND/object/3612
Fafanlap_1_-_9,Fafanlap,"misool, fafanlap, Fisch",Doktorfisch,Markus Wäfler,Edition Topoi,2017,CC-BY-NC-SA 3.0 DE,http://repositorytest.ancient-astronomy.org/collection/PIND/object/3613
Barom_5_1_2_1_2_Eidechsenfisch,Barom,"papua, berau, Fisch",Eidechsenfisch,Markus Wäfler,Edition Topoi,2017,CC-BY-NC-SA 3.0 DE,http://repositorytest.ancient-astronomy.org/collection/PIND/object/3614
Fafanlap_1_-_6,Fafanlap,"misool, fafanlap, Fisch",Falterfisch,Markus Wäfler,Edition Topoi,2017,CC-BY-NC-SA 3.0 DE,http://repositorytest.ancient-astronomy.org/collection/PIND/object/3615
Risatot_3_6_7_1_3,Risatot,"papua, berau, Fisch",Fisch fraglich,Markus Wäfler,Edition Topoi,2017,CC-BY-NC-SA 3.0 DE,http://repositorytest.ancient-astronomy.org/collection/PIND/object/3616
Saramau_2_-_-_2_Fisch_frag,Saramau,"papua, kaimana, Fisch",Fisch fraglich,Markus Wäfler,Edition Topoi,2017,CC-BY-NC-SA 3.0 DE,http://repositorytest.ancient-astronomy.org/collection/PIND/object/3617
